dataset,model_family,model,category,mae,rmse,mape
validation,naive,naive_lag_1,beleza_saude,46.0,60.76512157479815,6.558383320446107
backtest,naive,naive_lag_1,beleza_saude,82.0,82.87339742040264,11.385083367469239
validation,naive,naive_lag_1,cama_mesa_banho,51.4,60.35726965329032,8.482971622477505
backtest,naive,naive_lag_1,cama_mesa_banho,91.0,102.88342918079665,17.61717769410077
validation,naive,naive_lag_1,esporte_lazer,70.6,79.0885579587844,14.712107120456416
backtest,naive,naive_lag_1,esporte_lazer,30.0,31.04834939252005,7.2324072324072315
validation,arima,"ARIMA(1,1,1)",beleza_saude,112.60069340816808,131.9910848395565,17.58410314036534
backtest,arima,"ARIMA(1,1,1)",beleza_saude,57.75699197305141,59.73230215628925,7.861905024170657
validation,arima,"ARIMA(1,1,1)",cama_mesa_banho,131.50283832075291,186.40299442145658,21.62364756457004
backtest,arima,"ARIMA(1,1,1)",cama_mesa_banho,42.46437113426521,57.2130878452489,8.343831710963363
validation,arima,"ARIMA(1,1,1)",esporte_lazer,98.443966570427,104.12202030344334,20.02780966490417
backtest,arima,"ARIMA(1,1,1)",esporte_lazer,13.555033451363443,15.375765346860161,3.2908022512570785
