category,hyperparameter,value,mae,rmse,mape,objective_value
beleza_saude,p,0,200.24788974745175,207.71437830400714,30.79697528358018,206.9723717983001
beleza_saude,p,1,72.61306048076753,90.99193496684003,11.096560789164354,80.40753865414447
beleza_saude,p,2,53.199349388345496,65.66262792988944,8.028498997515719,60.09406964100488
cama_mesa_banho,p,0,124.01575811735576,130.33416801948297,20.280033750317354,127.19518546453553
cama_mesa_banho,p,1,35.74719437808938,40.49564635937477,5.844455993477852,38.87863653293764
cama_mesa_banho,p,2,132.91706358244394,196.68798386013557,21.97441867553081,150.07962316042745
esporte_lazer,p,0,103.66963351699904,111.13648344965807,20.385497937797542,110.49331686997569
esporte_lazer,p,1,114.52939463534052,121.00611385407632,23.954566676482845,120.97554785870807
esporte_lazer,p,2,132.17933291324798,143.6476126070439,27.127521707078028,140.4177597009944
beleza_saude,d,0,72.9666691395352,87.2461374329716,11.11183789840711,80.06764087051528
beleza_saude,d,1,71.77216661282911,81.26895053907027,10.886261759134053,78.88264795339539
cama_mesa_banho,d,0,71.94597431746445,87.40306291617682,11.807994785665858,77.52916747475281
cama_mesa_banho,d,1,63.14403099883732,78.22561627533527,10.358396091603918,68.80317607083927
esporte_lazer,d,0,127.33210252926351,144.5611268776838,25.00669008314083,132.8798033191004
esporte_lazer,d,1,102.84136543457986,107.29064198262641,20.814757680192766,110.16574972768967
beleza_saude,q,0,54.75992895968602,70.02358977275443,8.308826719031583,61.99870011171333
beleza_saude,q,1,131.7443529245441,142.18997657033805,20.20929419495252,138.68011721523538
beleza_saude,q,2,60.16958372434635,69.53641316737938,8.996268102395831,66.86468531182132
cama_mesa_banho,q,0,121.67461986967574,144.5060136375314,20.085527586497278,128.58941375114802
cama_mesa_banho,q,1,47.716995704705425,56.60597313127595,7.81608754881229,51.42820901784733
cama_mesa_banho,q,2,96.44726722035278,125.64862080207041,15.771464842801569,106.78170468231224
esporte_lazer,q,0,105.64116545157673,112.1119177439669,20.933579529430286,112.96970794547428
esporte_lazer,q,1,108.85440308402842,120.28946351007994,21.884333282620368,114.71437986854495
esporte_lazer,q,2,123.50941031946807,131.18415980530864,25.860316201840163,129.80717991516715
