dataset,model_family,model,mae,rmse,mape
backtest,naive,naive_lag_2,55.333333333333336,55.67605211096832,10.873186205220042
backtest,naive,naive_ma_2,39.833333333333336,46.68560489819362,7.489518782104638
backtest,naive,naive_ma_3,40.83333333333334,46.92425706331024,7.852389531589037
backtest,naive,naive_wma_3,39.916666666666664,45.892807061779706,7.402411606161828
validation,arima,"ARIMA(0, 0, 0)",198.55914685864093,215.20003367374846,34.05296824084667
validation,arima,"ARIMA(0, 0, 1)",181.26360181762507,193.4791140811995,29.26045708881581
validation,arima,"ARIMA(0, 0, 2)",123.28320809717475,138.48850239527442,19.91433946359855
validation,arima,"ARIMA(0, 1, 0)",95.4,98.8766908831399,19.14860085927574
validation,arima,"ARIMA(0, 1, 1)",74.94787653172224,80.58504934691373,14.020849974179512
validation,arima,"ARIMA(0, 1, 2)",92.22485418936765,97.49466753265371,18.59709450378679
validation,arima,"ARIMA(1, 0, 0)",74.73637929000726,94.04516215605385,13.000752500151787
validation,arima,"ARIMA(1, 0, 1)",39.60663887499961,45.158910164586715,6.9339761174487995
validation,arima,"ARIMA(1, 0, 2)",69.06942124757127,71.51338143138028,11.42077847727794
validation,arima,"ARIMA(1, 1, 0)",88.41911958757245,95.91698818959051,15.818334164649105
validation,arima,"ARIMA(1, 1, 2)",97.58139149180289,107.1088507100777,19.297678757543245
validation,arima,"ARIMA(2, 0, 0)",58.597009469641264,75.56549532850968,9.32834834701117
validation,arima,"ARIMA(2, 0, 1)",117.51959362715384,154.871424591595,18.97226315484343
validation,arima,"ARIMA(2, 0, 2)",102.48701147759722,146.59728513648895,17.570462280567746
validation,arima,"ARIMA(2, 1, 0)",116.29449640119056,137.61996621386882,22.87754935955208
validation,arima,"ARIMA(2, 1, 2)",99.65354524102763,115.42669318886453,17.494305681996554
validation,naive,naive_lag_2,87.8,100.68343535336714,16.00274721446299
validation,naive,naive_ma_2,60.70000000000001,68.68652701584408,11.060634468033035
validation,naive,naive_ma_3,77.64444444444443,85.10161885830281,14.125984237858377
validation,naive,naive_wma_3,67.96666666666665,74.13384608977452,12.328414871264195
