year_month,product_category_name,total_orders,total_revenue,avg_price,total_freight,avg_freight,total_payment,avg_payment,demand,demand_next_month
2016-10-01,beleza_saude,36,3559.05,84.73928571428571,769.66,18.325238095238095,4694.69,111.77833333333332,36,78.0
2017-01-01,beleza_saude,78,15060.44,173.10850574712643,1599.92,18.389885057471265,13870.25,159.42816091954023,78,141.0
2017-02-01,beleza_saude,141,25207.74,150.04607142857145,3616.33,21.52577380952381,27318.39,162.6094642857143,141,189.0
2017-03-01,beleza_saude,189,25831.25,122.42298578199052,3886.09,18.41748815165877,31469.84,149.14616113744077,189,167.0
2017-04-01,beleza_saude,167,22672.24,123.89202185792351,3352.18,18.31792349726776,27493.15,150.23579234972678,167,259.0
2017-05-01,beleza_saude,259,46716.62,159.4423890784983,6036.98,20.604027303754265,58834.24,200.79945392491467,259,230.0
2017-06-01,beleza_saude,230,32221.89,122.05261363636363,5327.75,20.18087121212121,42364.2,160.47045454545454,230,265.0
2017-07-01,beleza_saude,265,34901.1,112.22218649517684,5430.76,17.46225080385852,48551.93,156.1155305466238,265,331.0
2017-08-01,beleza_saude,331,48951.4,137.50393258426968,6332.15,17.78693820224719,58170.23,163.39952247191013,331,350.0
2017-09-01,beleza_saude,350,51665.96,132.81737789203083,7773.55,19.983419023136246,65834.61,169.24064267352185,350,317.0
2017-10-01,beleza_saude,317,40724.18,112.18782369146005,6930.87,19.093305785123967,50753.0,139.81542699724517,317,516.0
2017-11-01,beleza_saude,516,81668.72,138.89238095238096,10776.02,18.32656462585034,100632.2,171.14319727891157,516,422.0
2017-12-01,beleza_saude,422,64232.25,137.54229122055673,8499.4,18.2,75146.01,160.91222698072804,422,556.0
2018-01-01,beleza_saude,556,72290.83,115.11278662420382,10724.0,17.076433121019107,91430.6,145.59012738853505,556,589.0
2018-02-01,beleza_saude,589,84630.31,129.40414373088686,11030.28,16.865871559633028,104627.2,159.98042813455658,589,599.0
2018-03-01,beleza_saude,599,85848.28,128.13176119402985,12703.07,18.959805970149255,106095.1,158.35089552238807,599,613.0
2018-04-01,beleza_saude,613,91274.35,132.66620639534884,13333.26,19.379738372093023,118820.56999999999,172.7043168604651,613,667.0
2018-05-01,beleza_saude,667,97131.64,124.20925831202047,14113.68,18.048184143222507,135064.94,172.71731457800513,667,786.0
2018-06-01,beleza_saude,786,108551.65,122.24284909909909,17342.37,19.529695945945946,143140.11,161.19381756756755,786,692.0
2018-07-01,beleza_saude,692,104830.43,134.39798717948716,16867.32,21.624769230769232,141520.6,181.43666666666667,692,762.0
2016-10-01,cama_mesa_banho,5,478.99,59.87375,127.59,15.94875,2291.71,286.46375,5,39.0
2017-01-01,cama_mesa_banho,39,3449.4700000000003,78.39704545454546,789.89,17.952045454545456,5137.44,116.75999999999999,39,137.0
2017-02-01,cama_mesa_banho,137,16965.39,100.98446428571428,3070.21,18.275059523809524,25992.39,154.71660714285713,137,231.0
2017-03-01,cama_mesa_banho,231,26272.99,87.57663333333333,5013.56,16.71186666666667,39536.8,131.78933333333333,231,226.0
2017-04-01,cama_mesa_banho,226,27089.21,90.29736666666666,5214.9,17.383,36216.46,120.72153333333333,226,309.0
2017-05-01,cama_mesa_banho,309,35836.98,89.59245000000001,6817.21,17.043025,45271.86,113.17965,309,312.0
2017-06-01,cama_mesa_banho,312,35439.13,88.81987468671679,6717.2699999999995,16.835263157894737,47342.57,118.65305764411028,312,489.0
2017-07-01,cama_mesa_banho,489,66054.85,110.27520868113524,10976.74,18.325108514190315,97809.05,163.28722871452422,489,425.0
2017-08-01,cama_mesa_banho,425,57590.62,103.58025179856115,10088.32,18.144460431654675,82546.4,148.46474820143885,425,444.0
2017-09-01,cama_mesa_banho,444,54690.450000000004,98.71922382671481,10087.93,18.209259927797834,82365.31,148.67384476534295,444,433.0
2017-10-01,cama_mesa_banho,433,50709.37,86.09400679117148,10464.42,17.766417657045842,95630.13,162.36015280135825,433,786.0
2017-11-01,cama_mesa_banho,786,89345.53,90.15694248234107,17391.5,17.54944500504541,146981.4,148.3162462159435,786,465.0
2017-12-01,cama_mesa_banho,465,50841.5,90.14450354609929,9482.71,16.813315602836877,76772.8,136.12198581560284,465,675.0
2018-01-01,cama_mesa_banho,675,79231.86,89.02456179775281,15161.37,17.035247191011237,136339.45,153.19039325842698,675,575.0
2018-02-01,cama_mesa_banho,575,62533.26,87.70443197755961,11727.41,16.44798036465638,90048.1,126.29467040673212,575,636.0
2018-03-01,cama_mesa_banho,636,69180.15,86.36722846441947,14856.3,18.547191011235952,116536.71,145.48902621722848,636,595.0
2018-04-01,cama_mesa_banho,595,72836.27,96.47188079470199,14550.22,19.271814569536424,121856.0,161.39867549668875,595,593.0
2018-05-01,cama_mesa_banho,593,74068.6,97.07549148099608,13891.68,18.206657929226736,118621.27,155.46693315858454,593,646.0
2018-06-01,cama_mesa_banho,646,74504.07,92.09402966625464,17078.81,21.111013597033377,115263.23,142.4761804697157,646,507.0
2018-07-01,cama_mesa_banho,507,55359.57,88.29277511961722,13641.68,21.757065390749602,97434.11,155.39730462519935,507,550.0
2016-10-01,esporte_lazer,17,2012.1499999999999,118.36176470588235,478.61,28.15352941176471,2490.76,146.51529411764707,17,55.0
2017-01-01,esporte_lazer,55,9784.56,123.85518987341771,1634.7,20.69240506329114,16858.79,213.40240506329116,55,132.0
2017-02-01,esporte_lazer,132,16376.01,103.64563291139241,3137.54,19.857848101265823,21513.72,136.1627848101266,132,162.0
2017-03-01,esporte_lazer,162,31377.65,155.33490099009902,4580.39,22.675198019801982,34904.92,172.79663366336632,162,181.0
2017-04-01,esporte_lazer,181,23725.87,115.17412621359223,3982.26,19.33135922330097,30736.83,149.20791262135924,181,252.0
2017-05-01,esporte_lazer,252,34581.3,111.19389067524116,5955.19,19.148520900321543,51094.75,164.29180064308682,252,242.0
2017-06-01,esporte_lazer,242,32312.12,117.07289855072463,6028.8,21.843478260869567,41656.63,150.9298188405797,242,321.0
2017-07-01,esporte_lazer,321,40901.16,102.50917293233084,7740.2,19.398997493734335,54472.4,136.52230576441104,321,371.0
2017-08-01,esporte_lazer,371,41597.85,97.87729411764705,7821.44,18.403388235294116,59125.82,139.11957647058824,371,401.0
2017-09-01,esporte_lazer,401,49220.01,107.23313725490196,8544.98,18.616514161220042,71596.3,155.98322440087148,401,414.0
2017-10-01,esporte_lazer,414,50871.53,105.10646694214876,8630.14,17.83086776859504,64631.95,133.5370867768595,414,532.0
2017-11-01,esporte_lazer,532,63726.92,105.15993399339933,10652.46,17.578316831683168,85594.94,141.24577557755777,532,426.0
2017-12-01,esporte_lazer,426,60045.06,120.33078156312625,9708.92,19.456753507014028,82782.99,165.89777555110223,426,568.0
2018-01-01,esporte_lazer,568,88510.35,135.3369266055046,13192.84,20.172538226299693,117986.31,180.40720183486238,568,559.0
2018-02-01,esporte_lazer,559,75188.98,116.39160990712074,12043.64,18.643405572755416,99780.2,154.45851393188855,559,636.0
2018-03-01,esporte_lazer,636,82083.49,110.17918120805369,14443.0,19.386577181208054,116021.68,155.73379865771813,636,516.0
2018-04-01,esporte_lazer,516,66108.89,110.92095637583893,11234.86,18.85043624161074,96363.22,161.68325503355706,516,448.0
2018-05-01,esporte_lazer,448,61181.97,121.63413518886681,9422.78,18.733161033797217,77242.93,153.5644731610338,448,369.0
2018-06-01,esporte_lazer,369,45941.38,104.65006833712984,9053.83,20.62375854214123,67323.82,153.35722095671983,369,407.0
2018-07-01,esporte_lazer,407,54904.35,116.07684989429175,10565.51,22.33723044397463,79918.04,168.95991543340378,407,429.0
