dataset,model,category,mae,rmse,mape
validation,naive_lag_1,beleza_saude,46.0,60.76512157479815,6.558383320446107
backtest,naive_lag_1,beleza_saude,82.0,82.87339742040264,11.385083367469239
validation,ARIMA,beleza_saude,201.60202492076786,214.23730428950321,30.2260777623819
backtest,ARIMA,beleza_saude,281.1198642651393,286.7038051204566,
validation,naive_lag_1,cama_mesa_banho,51.4,60.35726965329032,8.482971622477505
backtest,naive_lag_1,cama_mesa_banho,91.0,102.88342918079665,17.61717769410077
validation,ARIMA,cama_mesa_banho,80.28462786347694,92.68484834986413,
backtest,ARIMA,cama_mesa_banho,113.43875660912391,123.646054570045,
validation,naive_lag_1,esporte_lazer,70.6,79.0885579587844,14.712107120456416
backtest,naive_lag_1,esporte_lazer,30.0,31.04834939252005,7.2324072324072315
validation,ARIMA,esporte_lazer,109.39985855138869,125.53399414801186,
backtest,ARIMA,esporte_lazer,47.505168433540945,47.554615858857716,
